City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,doha,25.2867,51.5333,76.98,71,0,11.5,QA,1700332130
284,saynshand,44.8824,110.1163,21.43,81,8,4.34,MN,1700332306
285,la manga del mar menor,37.6413,-0.7165,64.26,88,0,0.0,ES,1700332307
286,porto novo,6.4965,2.6036,84.02,81,65,6.64,BJ,1700332174
287,torit,4.4133,32.5678,76.05,83,34,2.62,SS,1700332308
288,narvik,68.4384,17.4272,30.81,92,93,1.9,NO,1700332309
289,ingeniero jacobacci,-41.3427,-69.5448,57.63,30,5,37.04,AR,1700332311
290,essaouira,31.5125,-9.77,69.3,56,0,3.44,MA,1700332312
291,kas,36.2018,29.6377,61.92,58,62,21.7,TR,1700332313
292,chingirlau,51.095,54.0814,25.43,60,0,6.29,KZ,1700332314
293,manismata,-2.4667,111.0333,74.59,98,92,2.06,ID,1700332315
294,portel,-1.9356,-50.8211,99.27,31,93,4.59,BR,1700332315
295,baise city,23.8997,106.6133,60.08,62,42,2.17,CN,1700332316
296,mathba,22.2855,89.9629,70.14,90,16,3.53,BD,1700332317
297,kailua-kona,19.6406,-155.9956,79.5,75,0,4.61,US,1700332318
298,ciudad del carmen,18.6333,-91.8333,75.24,100,100,0.0,MX,1700332052
299,cabo san lucas,22.8909,-109.9124,90.61,58,0,3.0,MX,1700332063
300,smithers,54.7804,-127.1743,34.12,100,100,3.44,CA,1700332218
301,santa ana,33.7456,-117.8678,70.45,80,75,4.61,US,1700332219
302,carmi,38.0909,-88.1587,53.69,43,0,0.0,US,1700332321
303,dalhart,36.0595,-102.5133,65.5,37,0,19.3,US,1700332322
304,la passe,45.5549,-0.8967,56.98,88,100,9.64,FR,1700332166
305,lihue,21.9789,-159.3672,72.45,86,100,5.75,US,1700332311
306,howard springs,-12.497,131.047,80.51,90,35,3.58,AU,1700332325
307,karasuk,53.7377,78.0403,43.29,66,100,27.87,RU,1700332326
308,aykhal,66.0,111.5,4.98,96,100,8.34,RU,1700332327
309,remire-montjoly,4.9167,-52.2667,84.24,79,75,12.66,GF,1700332328
310,el granada,37.5027,-122.4694,65.43,91,100,16.11,US,1700332329
311,copiapo,-27.3667,-70.3333,64.09,19,0,10.92,CL,1700332235
312,khandyga,62.6667,135.6,9.23,97,100,2.1,RU,1700332218
313,mount isa,-20.7333,139.5,82.17,42,97,11.5,AU,1700332215
314,cancun,21.1743,-86.8466,82.33,69,40,8.05,MX,1700332195
315,trubchevsk,52.5798,33.7644,25.77,70,5,4.29,RU,1700332333
316,nemuro,43.3236,145.575,43.48,69,42,20.92,JP,1700332334
317,ponta delgada,37.7333,-25.6667,67.19,82,40,9.22,PT,1700332335
318,beyneu,45.3167,55.2,45.72,72,90,3.91,KZ,1700332253
319,zhangye,38.9342,100.4517,40.59,17,0,6.06,CN,1700332338
320,levuka,50.1834,-105.4011,49.71,63,1,6.26,CA,1700332340
321,urmary,55.6789,47.944,19.65,74,8,6.91,RU,1700332341
322,mytilene,39.11,26.5547,49.82,71,40,5.75,GR,1700332341
323,busan,35.1028,129.0403,35.58,64,0,2.3,KR,1700332265
324,port douglas,-16.4833,145.4667,76.46,71,88,9.35,AU,1700332343
325,puerto lempira,15.2667,-83.7667,86.14,70,20,9.22,HN,1700332165
326,kapa'a,22.0752,-159.319,73.18,89,100,5.75,US,1700332345
327,aldinga beach,-35.2793,138.4604,60.62,90,2,6.96,AU,1700332346
328,whangarei,-35.7317,174.3239,63.37,97,99,8.97,NZ,1700332346
329,moussoro,13.6408,16.4901,82.49,13,100,13.04,TD,1700332337
330,ulsteinvik,62.3432,5.8487,41.13,67,100,13.0,NO,1700332348
331,letlhakeng,-24.0944,25.0298,74.16,56,8,8.19,BW,1700332349
332,berezovyy,51.6667,135.7,22.93,83,100,2.04,RU,1700332350
333,zaozersk,69.4005,32.4476,13.51,90,50,7.16,RU,1700332351
334,dolores,-36.3132,-57.6792,69.19,23,0,18.16,AR,1700332351
335,hammerfest,70.6634,23.6821,28.85,86,75,8.05,NO,1700332353
336,lumberton,34.6182,-79.0086,77.83,44,0,9.22,US,1700332060
337,dalandzadgad,43.5708,104.425,36.84,22,11,4.68,MN,1700332354
338,tezpur,26.6333,92.8,64.2,91,0,4.54,IN,1700332355
339,flying fish cove,-10.4217,105.6791,76.68,83,75,9.22,CX,1700332356
340,saldanha,-33.0117,17.9442,66.25,87,100,6.33,ZA,1700332357
341,azogues,-2.7333,-78.8333,76.95,72,90,4.59,EC,1700332358
342,porto velho,-8.7619,-63.9039,93.25,49,40,8.05,BR,1700332359
343,gaspe,48.8334,-64.4819,39.11,93,100,5.75,CA,1700332206
344,chanika,-5.4167,38.0167,69.82,98,61,3.62,TZ,1700332360
345,sao gabriel da cachoeira,-0.1303,-67.0892,94.8,55,40,2.3,BR,1700332309
346,howrah,22.5892,88.3103,73.4,88,40,0.0,IN,1700332362
347,lorengau,-2.0226,147.2712,80.78,84,18,8.39,PG,1700332362
348,klishkivtsi,48.4316,26.2623,35.55,86,100,6.78,UA,1700332363
